nome,subprefeitura
SANTO CRISTO,CENTRO
GAMBOA,CENTRO
SAUDE,CENTRO
CAJU,CENTRO
CENTRO,CENTRO
LAPA,CENTRO
RIO COMPRIDO,CENTRO
CIDADE NOVA,CENTRO
CATUMBI,CENTRO
ESTACIO,CENTRO
MANGUEIRA,CENTRO
BENFICA,CENTRO
VASCO DA GAMA,CENTRO
SAO CRISTOVAO,CENTRO
PAQUETA,ILHAS
SANTA TERESA,CENTRO
GLORIA,CENTRO
COSME VELHO,ZONA SUL
BOTAFOGO,ZONA SUL
FLAMENGO,ZONA SUL
HUMAITA,ZONA SUL
URCA,ZONA SUL
LARANJEIRAS,ZONA SUL
CATETE,ZONA SUL
LEME,ZONA SUL
COPACABANA,ZONA SUL
VIDIGAL,ZONA SUL
LAGOA,ZONA SUL
JARDIM BOTANICO,ZONA SUL
IPANEMA,ZONA SUL
SAO CONRADO,ZONA SUL
GAVEA,ZONA SUL
LEBLON,ZONA SUL
ROCINHA,ZONA SUL
PRACA DA BANDEIRA,GRANDE TIJUCA
TIJUCA,GRANDE TIJUCA
ALTO DA BOA VISTA,GRANDE TIJUCA
MARACANA,GRANDE TIJUCA
ANDARAI,GRANDE TIJUCA
GRAJAU,GRANDE TIJUCA
VILA ISABEL,GRANDE TIJUCA
MANGUINHOS,ZONA NORTE
OLARIA,ZONA NORTE
BONSUCESSO,ZONA NORTE
RAMOS,ZONA NORTE
MARE,ZONA NORTE
ABOLICAO,ZONA NORTE
LINS DE VASCONCELOS,ZONA NORTE
PIEDADE,ZONA NORTE
JACARE,ZONA NORTE
CACHAMBI,ZONA NORTE
AGUA SANTA,ZONA NORTE
TODOS OS SANTOS,ZONA NORTE
PILARES,ZONA NORTE
RIACHUELO,ZONA NORTE
MEIER,ZONA NORTE
SAMPAIO,ZONA NORTE
SAO FRANCISCO XAVIER,ZONA NORTE
ROCHA,ZONA NORTE
ENCANTADO,ZONA NORTE
ENGENHO DE DENTRO,ZONA NORTE
ENGENHO NOVO,ZONA NORTE
JACAREZINHO,ZONA NORTE
VICENTE DE CARVALHO,ZONA NORTE
COLEGIO,ZONA NORTE
VILA KOSMOS,ZONA NORTE
VISTA ALEGRE,ZONA NORTE
VILA DA PENHA,ZONA NORTE
IRAJA,ZONA NORTE
CASCADURA,ZONA NORTE
CAVALCANTI,ZONA NORTE
TURIACU,ZONA NORTE
BENTO RIBEIRO,ZONA NORTE
OSVALDO CRUZ,ZONA NORTE
ROCHA MIRANDA,ZONA NORTE
ENGENHEIRO LEAL,ZONA NORTE
CAMPINHO,ZONA NORTE
VAZ LOBO,ZONA NORTE
MARECHAL HERMES,ZONA NORTE
MADUREIRA,ZONA NORTE
QUINTINO BOCAIUVA,ZONA NORTE
HONORIO GURGEL,ZONA NORTE
ENGENHO DA RAINHA,ZONA NORTE
DEL CASTILHO,ZONA NORTE
MARIA DA GRACA,ZONA NORTE
INHAUMA,ZONA NORTE
HIGIENOPOLIS,ZONA NORTE
TOMAS COELHO,ZONA NORTE
COMPLEXO DO ALEMAO,ZONA NORTE
PENHA,ZONA NORTE
BRAS DE PINA,ZONA NORTE
PENHA CIRCULAR,ZONA NORTE
JARDIM AMERICA,ZONA NORTE
VIGARIO GERAL,ZONA NORTE
CORDOVIL,ZONA NORTE
PARADA DE LUCAS,ZONA NORTE
PARQUE ANCHIETA,ZONA NORTE
RICARDO DE ALBUQUERQUE,ZONA NORTE
GUADALUPE,ZONA NORTE
ANCHIETA,ZONA NORTE
BARROS FILHO,ZONA NORTE
COELHO NETO,ZONA NORTE
PARQUE COLUMBIA,ZONA NORTE
PAVUNA,ZONA NORTE
ACARI,ZONA NORTE
COSTA BARROS,ZONA NORTE
ZUMBI,ILHAS
PRAIA DA BANDEIRA,ILHAS
TAUA,ILHAS
RIBEIRA,ILHAS
COCOTA,ILHAS
BANCARIOS,ILHAS
PORTUGUESA,ILHAS
PITANGUEIRAS,ILHAS
GALEAO,ILHAS
CIDADE UNIVERSITARIA,ILHAS
JARDIM GUANABARA,ILHAS
JARDIM CARIOCA,ILHAS
FREGUESIA (ILHA),ILHAS
MONERO,ILHAS
CACUIA,ILHAS
FREGUESIA (JACAREPAGUA),JACAREPAGUA
JACAREPAGUA,JACAREPAGUA
ANIL,JACAREPAGUA
PECHINCHA,JACAREPAGUA
GARDENIA AZUL,JACAREPAGUA
CURICICA,JACAREPAGUA
PRACA SECA,JACAREPAGUA
TANQUE,JACAREPAGUA
TAQUARA,JACAREPAGUA
VILA VALQUEIRE,JACAREPAGUA
CIDADE DE DEUS,JACAREPAGUA
VARGEM GRANDE,BARRA DA TIJUCA
CAMORIM,BARRA DA TIJUCA
RECREIO DOS BANDEIRANTES,BARRA DA TIJUCA
JOA,BARRA DA TIJUCA
ITANHANGA,BARRA DA TIJUCA
BARRA DA TIJUCA,BARRA DA TIJUCA
GRUMARI,BARRA DA TIJUCA
VARGEM PEQUENA,BARRA DA TIJUCA
SENADOR CAMARA,GRANDE BANGU
JABOUR,GRANDE BANGU
GERICINO,GRANDE BANGU
BANGU,GRANDE BANGU
VILA KENNEDY,GRANDE BANGU
PADRE MIGUEL,GRANDE BANGU
JARDIM SULACAP,GRANDE BANGU
DEODORO,GRANDE BANGU
REALENGO,GRANDE BANGU
VILA MILITAR,GRANDE BANGU
MAGALHAES BASTOS,GRANDE BANGU
CAMPO DOS AFONSOS,GRANDE BANGU
SENADOR VASCONCELOS,ZONA OESTE
COSMOS,ZONA OESTE
CAMPO GRANDE,ZONA OESTE
INHOAIBA,ZONA OESTE
SANTISSIMO,ZONA OESTE
SEPETIBA,ZONA OESTE
PACIENCIA,ZONA OESTE
SANTA CRUZ,ZONA OESTE
GUARATIBA,ZONA OESTE
BARRA DE GUARATIBA,ZONA OESTE
PEDRA DE GUARATIBA,ZONA OESTE
ILHA DE GUARATIBA,ZONA OESTE
